marketing,ventas
34444,308562
8453,81434
30414,282138
35308,327171
37129,327906
29504,264420
40650,375959
28466,252926
36405,329613
31608,290402
29995,274759
42289,390373
18673,173394
41574,371633
16179,150460
19225,179169
15867,147518
35899,332773
5780,57425
45978,422623
10514,99470
27212,248476
22184,201328
14055,130916
28034,251767
46081,427310
1780,21302
25428,228762
31759,295263
49879,454169
26058,245380
27960,248371
35772,326842
40034,357758
14953,137791
32327,296229
2402,26207
26997,251844
47959,440739
8864,86060
41280,363335
39290,355877
37487,341158
28589,260766
9393,90134
17549,161703
25344,231140
22618,211865
25346,231463
28127,268349
17032,159752
49588,444071
35851,340204
15194,143550
43107,407714
3138,33735
49929,459899
1835,21555
41219,377819
44373,407184
7996,76189
46340,420153
17293,160803
40296,364021
49516,448099
11232,103223
20884,193511
20944,193946
38235,342745
26495,234466
47359,434265
41606,387375
16415,156132
45343,420078
39848,367276
37588,333841
3191,33428
24785,231286
5019,49483
28028,257108
32625,308440
42153,394283
30629,279358
48590,434794
34693,321269
35769,326004
32186,285868
39328,361366
18089,166907
6179,61236
18779,175561
30955,281244
37845,341342
2380,26197
32894,302898
14401,133506
23753,219739
39569,355949
46452,429542
34357,309721
13021,124865
32519,301659
36884,337390
42829,380633
47151,416828
6598,64483
19783,183855
20567,194761
44013,394601
35294,319706
23028,207148
22178,207086
23556,216184
16975,155839
15608,146583
8335,80577
49185,435476
12633,117979
13052,122940
47986,444972
39139,364333
19046,175903
7088,69234
24150,219713
12259,114400
8795,86114
18477,172183
19645,182083
46205,430120
49834,449839
32670,299645
19134,177476
31262,282115
3867,39873
17046,161130
4782,47742
26760,240581
45487,414846
4013,41753
20412,193265
6082,60195
27774,254886
40235,360219
34747,313614
25428,229925
39069,358559
28603,260389
40452,377014
49002,456139
41493,384601
14329,133879
16219,151967
11891,111033
27272,249682
30024,273329
2639,28336
15670,145575
30255,280889
5164,50802
41463,365128
39152,350123
28361,251842
8021,75518
17908,165099
9821,94188
20659,191740
39496,360413
19414,175946
29280,273283
46357,429693
26878,251347
32861,298702
29188,268784
28813,264913
48638,440310
6485,64028
15502,148813
38196,346181
38977,377729
44558,398010
18162,164354
11981,111423
31334,281963
18729,173200
12394,118534
32725,299424
6479,62332
21540,199480
44417,407876
27477,253784
45960,408481
26744,245864
36551,336250
17041,158619
21686,204351
34224,318896
575,10115
27582,248910
4052,41688
33169,307878
41486,376480
18001,167322
36493,336504
46260,425534
32266,304803
40403,379891
16182,150114
1396,17389
36692,331939
7935,76879
30741,287964
10590,99560
33161,307217
46729,423169
18419,168036
31447,290764
16473,151926
12991,122211
39780,350765
5075,50593
18604,173213
22774,203327
33775,308935
48082,438251
20066,187664
43749,391370
32589,301823
32241,291228
23118,210149
25220,237556
30341,286449
46211,415169
16150,148759
27420,250472
3360,35003
25484,238291
25802,244062
43230,393233
10468,98780
33418,305802
39178,356270
29355,270957
7034,67155
47846,434326
9947,92685
10616,101788
5403,51527
22687,210893
41345,373940
22032,198807
44694,411403
21252,193858
41577,377137
35956,319675
2852,30436
45352,409819
19333,183802
28940,265343
6951,67664
7086,67119
29576,273061
2397,26835
3514,36545
23992,222019
25065,228034
27504,253838
37588,341815
11973,111727
5675,55429
45269,408187
16283,148316
15716,146489
30721,278178
44202,397212
1115,15185
19350,177223
44907,406636
23146,212921
39007,351514
45740,433378
16890,154939
25711,237275
32167,298209
24024,223409
38170,346007
1937,22864
43637,397070
45444,414525
49302,464747
49335,446329
33053,307802
15581,140849
40284,368917
12960,120345
41190,375669
43700,409303
45120,416097
41621,372124
42858,401709
2686,29348
38482,349313
19840,184745
21911,202166
9161,86595
35850,331312
33385,302116
18360,171268
32078,290457
19842,183519
8047,76325
31192,288235
15285,142273
44823,405374
37024,322890
24471,228340
17831,166919
35664,329635
49587,456281
44562,405558
42347,392326
24844,230709
2140,24407
41102,380830
40482,364154
15007,138145
30926,278060
46445,420706
9660,93345
3471,36657
32784,298668
8110,80072
9390,91197
25970,233169
49202,450975
46144,427098
49145,444746
48118,442280
6989,68796
32569,289483
18833,170057
2644,28694
29643,268891
15973,149431
45436,411465
24573,216377
24006,218313
4468,44863
8505,82039
30300,280331
42409,389073
39634,363589
22356,206008
16462,157489
13948,130273
4996,50421
38929,348852
14652,137485
10170,95504
39558,372752
9982,94890
9019,83826
7704,73818
43823,401741
23977,219370
16093,149471
17891,165765
3934,40837
7948,77422
49367,456743
24226,224574
34135,307543
15019,138799
40811,382608
43681,401212
34673,314676
2541,28387
4486,46678
28436,260850
45464,422558
29569,275514
5316,53410
10221,96189
4804,48943
38862,360568
36437,331672
39650,356189
35270,320682
28693,268143
6999,68129
43407,392570
43158,399315
14591,134393
28685,260208
22712,210143
30220,271083
20983,196871
28468,259958
10503,100643
45511,416851
6094,59687
6609,62990
24921,231852
9027,84555
37304,338156
37310,339418
23673,219647
44103,408394
47755,432079
3871,40610
23545,215961
7289,69933
43539,394726
32100,294271
36955,340213
24588,228529
15321,144116
28622,269146
41245,362349
40711,367861
40411,361809
43611,399970
12323,114626
18409,169985
22770,207122
23504,223650
37614,343963
43579,394275
41995,384989
2509,27968
25154,233915
28014,254770
20923,193834
47790,427416
39574,373789
6067,59996
49942,451563
40990,376323
29539,271413
43880,391929
27643,256391
18402,171328
23121,217148
28674,268033
39371,365046
32391,292405
14951,139234
26403,243950
13897,130004
20253,192161
17245,158717
19469,180049
49456,450919
28723,265403
46615,430642
15580,140795
23710,218378
5223,50977
29088,271120
1728,20450
21016,194461
38232,343816
42452,389854
27873,254809
21784,204283
11763,111642
45694,407225
24214,228886
16445,155507
29052,261964
26436,240364
20834,192447
11518,107439
5505,54139
33920,310115
13207,125388
48169,434787
42799,392063
10097,94852
17275,161619
43459,404503
5438,54562
32882,308555
30905,283363
29919,266693
45138,418999
42134,380467
41428,370512
21218,203549
10393,96907
41878,384513
20345,189276
23564,212545
33748,313765
2964,31898
4228,42697
42748,393605
6417,61894
30824,278778
38532,342138
3188,33408
29973,279681
12836,119167
21571,196122
4554,45492
30025,282902
23007,216538
47313,439643
3065,32919
16736,153596
34845,303130
34758,313996
19039,174621
25889,235035
39683,365081
3931,40586
4819,47358
22106,208093
19121,179506
17014,157513
39998,356329
10354,97158
9768,94589
23425,213928
43893,408975
26187,244936
6052,60501
20788,187916
22027,201526
8875,83671
48916,433155
45419,416343
44439,403407
28248,258420
20741,191637
12313,117427
32368,294971
13083,122903
5557,55461
19885,184735
35874,325805
48907,446678
22570,207503
41003,378092
11133,106388
12351,117715
11348,104582
47763,428055
44826,411073
47658,434528
19173,180664
49808,453197
35496,318651
16174,148955
31237,294065
13215,120692
29374,277252
30756,282779
33458,297477
35067,317874
13587,127875
40127,369088
42520,391376
31995,297246
7223,69027
47122,436916
19181,173002
5996,59023
34143,308213
10156,96729
15051,139594
30065,283380
27690,247850
3990,40449
25807,239532
5848,57483
6993,68114
47338,423650
9517,88608
3010,31894
46117,432722
9595,91444
40827,365561
844,12616
14633,136457
10298,95308
35088,318231
28238,261815
20236,188733
8485,82633
41316,378755
30457,287141
33256,307955
39607,353277
38186,346855
16355,151795
602,10344
40792,367337
12775,121964
44040,397406
24132,218349
4935,50303
33767,307070
36816,347478
3353,35307
42159,379797
49476,454964
1564,19021
16302,152433
48534,439928
38635,350452
48681,443292
23588,215400
36283,327422
45371,421631
30949,288800
12445,116748
9337,91268
30494,282502
2923,31271
13572,127734
3246,34045
26598,247531
36088,328333
42895,391347
13024,121341
3632,38744
43474,394610
24618,228219
29136,272762
25839,233460
22719,213407
33105,301989
24574,230132
5914,57734
48150,431531
12326,116830
36248,330545
21990,204387
43814,397305
47532,440219
28425,263135
29803,277420
3275,34317
40794,358810
29004,264165
4259,45097
5417,53358
34125,307526
49645,443908
9857,90412
40317,365017
8772,82676
4906,49247
24233,228309
25590,236245
10555,99868
45003,403846
29594,272668
5538,53930
26585,242071
21103,193511
7934,75677
2198,24747
25861,233206
37309,347919
46639,432897
29746,274069
45980,428074
32691,300034
5353,53589
30125,279461
6253,62588
45190,431201
44267,399456
23268,213302
19529,177178
20157,189249
46389,413676
42292,388386
15195,143673
8453,83314
16014,148728
32876,307065
24676,227857
31131,287135
40604,363155
6150,61201
47484,435237
47611,426219
27332,251551
38176,362308
42596,396015
5360,52085
23078,214317
8910,86865
42429,379173
39021,362506
28852,274921
33455,307529
8637,82500
34454,316860
21645,201402
46986,430500
34506,327970
19115,178269
42119,380117
36599,333214
40767,380367
35462,330497
39284,363227
38553,356778
47727,443195
40158,359269
3199,34719
2359,26983
38299,356526
17844,162937
27801,249421
41008,369433
41601,373793
36254,327924
32150,306058
16548,155203
19992,180636
30223,278436
29309,269465
27738,251844
40258,367725
9915,93327
48616,453267
23134,215021
24783,227743
34249,309070
31070,283086
8529,81655
6844,67366
3816,39203
40829,378299
27902,256209
10966,106987
21958,207436
12940,120205
10942,101504
33186,303739
20720,190129
26271,241467
33624,304007
38730,354714
23627,220390
39658,363377
43377,392895
1035,14202
7544,70771
48177,444880
24471,225543
26752,241951
3852,39324
36756,334253
19413,182804
36535,336708
18831,176277
40545,362341
8286,79961
24957,230833
22722,206458
9954,94079
13545,125258
3138,32955
3469,37019
31547,290734
34534,308990
34284,315430
9660,91000
11149,107374
26252,247713
20110,185698
39410,353958
35387,332015
32602,297359
1590,19115
24640,225889
27798,256935
38753,349366
45591,429004
41739,387654
43464,397408
38410,342553
38741,349314
31986,296110
41115,382659
25416,237194
2569,28587
38023,349814
1741,20628
29403,268642
45752,420390
13862,126721
31407,292006
48723,441889
34492,307416
14088,124845
31850,285330
34937,310041
30624,288661
35439,321225
47746,440316
45113,404553
40481,362013
32231,296369
37074,342577
20062,186829
20004,192996
19440,178711
32547,290746
21277,192433
47794,436309
18421,169940
36098,336752
25383,236471
23118,210946
10099,95577
47301,436364
5679,55586
17306,163060
49477,445349
35796,327636
18268,173272
9496,89565
7658,72780
16389,150329
3826,39093
42308,378932
15759,149140
47512,434991
31459,294667
839,12678
36567,337288
43287,394056
31675,286937
19324,179189
21548,198682
6362,62583
43249,387066
47890,432016
2944,31730
12020,112599
2881,31363
32965,301596
12710,123886
19470,177331
2955,32168
7532,72873
22457,204931
36105,345844
34861,306406
33544,307350
31172,284331
22171,210526
11149,105054
47594,423097
12702,121038
19834,183744
37710,342695
40539,366308
42359,395728
34269,307617
21991,207115
12609,119939
9715,89054
947,13570
17590,161173
17997,168935
22102,202215
1249,16525
17641,161456
4571,45272
44264,407562
27069,250972
45462,399678
46608,424236
20880,191282
19835,179564
24587,224333
9253,87633
31838,296071
40197,374985
24985,225780
31356,290199
35726,329748
16717,151014
45086,411183
5865,55998
34939,311729
5618,55993
37473,350299
33627,313784
13748,127677
22003,202197
34601,309088
47483,436190
38717,341050
29695,272923
4146,41599
30436,280504
37456,347956
20696,192491
47900,441554
697,11283
49377,449970
28267,261020
23079,211385
4448,44239
5023,51055
19314,178541
27295,251595
42542,390992
48294,435042
25566,231915
29895,280724
25118,225065
5759,56309
35843,320366
9215,87207
12196,113373
35709,324192
15094,141581
727,11554
30843,269776
44638,405384
25356,229283
15551,144992
18564,174642
12852,123529
7895,75325
2611,28648
1525,18502
16272,151754
2700,29479
29757,267127
3690,37712
16538,153692
15857,145304
35873,330050
4199,44022
9683,90947
48440,440813
38255,346045
44575,414367
21515,199177
43767,412278
34660,317735
4494,46006
36985,348690
11977,111617
41525,375289
3572,36532
23071,217457
34871,316038
21388,196404
20153,183454
25171,233432
16292,154406
15268,141286
30844,289485
4276,41930
37022,332637
35233,324720
13825,130579
22144,199758
24818,221659
6559,62226
3877,39650
18093,165186
3091,33259
5269,52928
47968,447989
44504,398424
22321,204506
20369,188838
12953,121485
49093,468311
31886,304636
16398,151296
26493,237596
16184,146682
25447,231902
31056,280206
17641,163245
24069,217400
6962,67559
47844,422114
13812,130063
24794,227707
15001,140644
49078,450183
38775,357563
38454,350182
13357,123566
22118,204601
16604,157645
33222,292652
22622,206053
17364,161528
47919,427975
42554,387522
48522,433625
23580,219962
32502,304320
12561,120090
42561,384069
4349,42908
5371,53108
44292,404345
9510,90638
41833,382641
1099,15147
14834,136356
40990,373695
42294,381258
32167,288715
43706,397601
36652,334916
27457,257155
18505,171798
35610,326473
46234,420924
44673,392662
12248,117071
7513,73812
16292,150160
13078,121609
23728,216696
18019,167476
27109,247396
30580,267411
15301,139935
20159,184068
43343,383538
43091,392991
25355,231512
25218,230746
1119,15052
46561,427946
28936,269922
42764,391651
6749,64463
35113,324342
45869,415402
37644,342072
5372,53386
45354,426198
37430,336447
43629,412383
21110,196483
1526,19029
49799,450809
47208,436887
20113,179757
11146,103323
26003,237053
44870,413640
48979,441818
9671,92597
5639,54499
33319,304739
6901,66155
29145,267499
40160,368820
40730,377466
21889,201077
2441,26542
30027,269361
32652,299719
25103,235660
28801,266462
25408,238325
6116,60150
16651,152789
47234,435115
25403,234968
47140,430125
26034,237096
21253,195381
20702,192362
29646,269567
9183,88488
6221,61379
36855,342268
34083,310758
23694,218693
36821,342606
21761,203281
25746,240693
6050,59522
48003,449737
16408,149562
37983,338259
11608,109121
9599,91256
10063,96751
4646,47092
20144,188403
32234,296038
16660,152624
47744,427899
13315,122938
30506,282606
26432,244992
22272,207225
22096,201145
29350,265041
43166,403750
39454,363499
46066,424180
13663,126696
26599,244719
21415,196460
32678,306400
38240,350176
18869,172357
26251,235219
13594,130892
39312,362521
36551,333899
2263,25728
46923,425027
14239,131509
45905,420300
5032,50852
27313,244190
44604,396958
16361,152264
17059,156329
25206,226821
5347,52095
38657,355375
26767,237010
45831,414139
27913,249088
24062,219829
46482,430190
42323,381098
6069,60152
44061,404716
23765,221348
37411,348384
42772,387095
49827,446663
22231,208535
1191,15678
6962,67589
34499,321668
37068,332247
29714,269599
25018,225158
39073,363028
45748,410419
2109,23980
32138,298201
6126,60715
8106,78916
23328,210011
20940,190423
34651,324449
32149,293075
47816,437994
46163,417999
3428,35908
47081,439027
42965,399979
7667,73698
49028,442298
16485,150247
22191,204295
37190,334151
27045,250421
41771,384526
28820,270046
26424,248194
13431,126386
29963,270934
46685,421360
14576,137185
4600,47508
38337,359389
12752,122082
24472,223382
17693,166844
44455,410404
42384,380538
21039,190793
38969,351122
7986,75537
40959,383327
11806,112334
19993,180615
40770,364224
21024,191688
8224,79060
24964,231538
45945,422816
39587,365852
9535,89477
32394,294237
42148,370541
11853,110749
36866,339071
12761,121218
21116,197449
24029,217064
1128,15041
25662,236202
37303,334190
45372,413076
32725,291418
32527,302465
11461,108522
14952,139846
19642,183836
19418,180186
11523,109135
32960,295373
36526,326605
18056,167264
36093,332137
3226,33619
47619,428891
28362,261333
7211,69760
16722,151859
20010,185632
17723,164025
23344,216064
8193,78337
16028,150232
45663,426817
23478,219408
28560,257533
11377,105163
14062,129092
4390,43775
39615,358412
35808,334597
19678,189251
19461,173684
34212,307319
45018,411613
49658,448233
27474,263512
43484,386390
8815,84122
10084,94986
47121,426755
44817,412911
26236,235969
18110,168225
41644,373915
42025,386773
6601,63058
46028,425839
24687,223070
38639,354634
662,11088
6604,63027
48402,450766
46197,419060
23976,224554
26564,238333
14775,142029
32921,299455
18098,166902
36368,336308
38375,358052
23027,217185
45231,412239
41537,376927
30619,291091
10853,103059
29420,256602
28536,265405
13759,133352
43098,392498
20283,191372
18458,176531
6617,64127
24869,226482
44049,404711
26474,241908
41499,375192
15844,151059
28630,258921
571,10028
14486,134226
15323,143085
34542,315576
46086,418919
23016,216352
28176,247098
45984,420639
25604,236522
6354,62132
21035,192858
24588,227760
49858,450959
9225,86714
4983,48973
35267,315707
11255,105397
29342,267268
49538,454980
10420,100674
29492,267475
14737,138503
49812,455089
8571,81068
28640,260503
21111,195608
42745,385026
6021,59203
47763,444578
40319,364736
2257,26099
43649,400997
40275,364592
33892,311934
42847,396561
4076,41913
16185,146447
32932,298622
42317,388951
39423,370985
1290,16784
24164,224240
37749,343525
28081,253494
31368,292649
5283,52841
17682,164241
14638,137493
26581,244577
33701,306494
27725,260920
28259,258806
35664,323857
35735,323392
20810,190613
5678,55529
10682,101061
35652,322572
43087,400392
45133,407568
29171,264586
48338,445168
16522,153170
6150,60757
40627,369262
40400,377044
43626,400918
49039,446879
9492,90630
46473,431401
23221,214279
34775,308332
17490,161883
11442,105997
18113,171277
48533,451252
2423,26398
22455,208037
4685,46640
17732,163770
5550,53888
33015,297639
33242,305486
37651,345507
7243,70737
38111,346700
49047,443186
33846,319656
1305,16751
16526,155994
10335,98435
12228,118339
36732,331028
47294,430212
21589,195930
16770,152457
18277,171690
5604,55054
44627,405176
3951,41018
3509,37439
26775,250052
19001,177347
20861,190895
1022,14370
24677,228547
20417,192510
48968,439829
39277,353908
32832,309004
48502,441343
36319,332139
917,13150
27372,256418
42177,385775
45946,430646
595,10202
43577,389566
20653,194433
7312,71678
28013,268649
32745,312487
9830,92515
47138,428847
15669,146712
34562,306641
30545,284964
49514,453492
9249,88557
42260,386403
37712,342389
4581,44601
16017,151616
19615,181358
26252,244685
46422,425843
30171,273037
18322,170575
9420,93150
38819,356502
29962,276001
31043,283462
23980,222499
14107,129709
8358,80638
6425,63629
46683,434060
46170,416690
21982,201451
10220,97952
23813,220780
26468,237263
17550,162615
11894,113827
30135,277107
36934,337355
30780,278519
7178,69798
1283,16447
4541,46806
9066,83207
13484,127227
41807,375848
42750,397107
5414,54269
1928,22543
42835,390438
29560,271749
22228,203687
8529,83132
11509,109089
38110,339609
33014,305368
2432,26603
23696,220783
14571,137608
29729,270612
10240,99243
16607,155210
42920,389424
36589,339731
31893,295631
9493,90868
27974,259489
34959,329984
16828,153357
1779,20659
25567,235823
36185,325647
32263,291885
21576,202655
25952,238453
39632,363042
14853,142673
18911,176146
4339,44315
23924,216534
38772,369658
7062,68550
16743,154594
48803,439422
4164,42609
38228,335171
25955,234039
11884,114651
12040,113493
48872,451238
46219,415112
46601,431662
46411,417323
9812,94838
37403,351750
32758,296840
36028,326976
6415,63776
4181,42677
35001,323676
31825,302098
13703,128346
9051,86000
21706,202067
4403,45496
9783,93314
7769,76239
5253,50991
24983,228291
38905,346896
7121,68601
10822,103624
48495,453678
32429,294130
43044,388244
37329,348964
45953,425887
23884,216796
15130,139061
25297,226666
20607,190203
12146,112799
48264,450640
38041,347469
26163,244452
37690,336386
2622,28740
40567,374951
14976,139110
33017,300366
9717,92166
23228,215275
21439,201252
6314,63540
46962,422173
22503,202744
29770,275985
45927,418681
4942,48708
47713,444577
583,10336
28002,258361
11401,109100
25319,229933
23518,215098
31923,291675
38383,345331
11159,103357
30075,283478
19827,186011
1815,21054
5362,55056
22900,212703
48471,447423
5415,52074
6601,63792
22647,204932
32136,290520
46670,441441
11313,107601
40301,370428
7136,68824
22198,205377
46191,425042
36814,334764
17884,161681
43792,398176
3752,39174
26249,234458
10565,98763
4072,41234
19803,185634
43886,394651
6856,65871
2186,24798
5869,59030
31535,291072
26548,241089
31363,280363
6472,63345
42565,384158
25498,233812
24709,227815
29318,270086
30978,283057
37478,352973
4539,46462
6837,67820
6116,59223
27631,247121
39148,357625
25869,239183
34747,312093
31618,292435
38033,352072
5674,55410
26373,247486
33405,301095
37935,354697
44902,402038
41150,384403
29928,283115
11829,112479
14386,134063
13130,124620
45269,417496
29033,268706
10191,99433
39497,359827
4891,50630
6203,60112
21873,203991
18601,166229
1310,16735
46402,416560
27998,253415
7874,75291
39030,357967
38686,353897
7422,69163
37376,343200
35603,316213
23035,214263
43412,392167
32323,290971
11785,110190
18549,168775
45117,416430
45959,412988
22224,206953
45753,417662
18101,172388
24908,236006
20361,188963
20878,192211
46125,428027
45382,424629
9307,90391
20192,189962
21528,198188
18156,167911
6351,60872
12816,116373
27184,252885
49058,437692
25004,230476
4183,42279
20889,192824
47002,424214
34859,318610
37768,348558
13654,128128
4276,43486
24117,226047
46678,427211
30923,287527
33603,298321
45141,420519
2502,27540
29735,277775
12138,116244
36632,333157
23421,212049
17451,166200
49583,452822
2298,25550
25833,244729
14545,137218
15006,138018
18134,164934
43202,392718
45208,412606
1083,14661
11850,111803
39896,365402
40368,364220
20518,188539
18547,167668
28274,266027
30580,274749
17014,158555
34620,320897
41368,375010
34022,312625
43908,412489
37295,338418
42924,386952
45353,410095
7584,72232
18619,172860
42482,385004
43499,401170
47102,438716
12844,119768
10325,96783
4220,42929
39823,359088
9670,92751
47770,443227
19872,184404
17501,164737
48782,439923
2814,29140
12946,118378
22989,211541
35537,321093
42332,388995
44531,391584
23994,213998
43597,396792
37085,339822
8884,85504
49056,445777
12497,120875
45045,418358
15065,138641
23783,220252
28056,265908
22213,201855
30893,287475
8218,76530
38745,355851
38531,353865
13249,123979
33299,310198
35223,327465
20053,180275
10381,100064
9502,91822
37816,345094
30487,285045
12319,118753
5796,55940
12088,113991
21039,194147
18425,170624
14222,133089
10883,101957
32584,300121
8980,83533
40770,366005
28616,264383
31786,290091
13568,127489
48384,439602
21616,199934
35301,325611
41570,387855
48577,442275
23067,217924
20953,195708
39079,360887
20561,192911
20042,190235
19559,177610
34848,320364
22640,204028
9268,89269
22961,215645
49659,451721
12848,122772
26936,254998
1753,20834
9098,89061
14340,133773
11574,106860
8571,80892
2948,32008
25088,232857
35544,322026
41337,396171
43882,406340
7585,73135
45703,415201
8088,76763
36366,334958
17063,157110
46060,420178
45440,410018
43862,395690
7117,68610
40190,362632
46422,431341
7375,72957
34027,310744
7971,76152
7464,70641
17735,164666
34784,322897
27353,250527
19856,185708
14111,134254
45602,421013
679,11073
1335,16808
38127,337161
44345,387864
34035,311776
5418,53699
17270,159249
42727,391808
19900,192972
17809,164086
11949,112723
3085,33027
44852,403577
20993,192539
3507,36680
1133,15346
11674,107994
22039,201132
41250,381431
18083,168612
22960,210588
12484,118785
30419,281796
18314,171981
31842,285303
28139,253777
7909,74476
9184,87497
10946,102975
7296,69400
37786,348888
44959,401050
24001,222883
40565,379175
48162,440433
9062,84993
27453,252582
29380,272710
21093,195538
1310,16706
49234,437438
38291,348948
44398,399903
22670,203875
41016,373019
6741,64183
32083,296921
23159,210863
10242,95293
37091,344788
1263,16203
42665,395944
31255,284064
32995,303286
32720,298063
21513,199106
3799,40698
33722,309737
26929,253076
15900,150374
38054,350426
29866,278272
21213,197880
8279,81549
1664,19925
7226,69793
36485,334207
511,9661
41071,364943
42281,382987
14056,133869
43399,388035
24312,215936
4056,41980
22256,199420
37210,340715
47466,422613
43568,392425
6885,67823
43682,399195
42027,388913
19635,178991
7467,71883
3500,36987
47479,427305
49161,446825
40532,366942
13339,126816
26248,249626
14628,132964
47475,435586
22646,211553
42000,387083
44549,396191
30024,271114
30475,273055
9323,85972
33191,311843
36756,336049
28864,267409
33814,304384
12113,113615
8913,84445
7286,69448
21592,202179
33537,310683
40411,364417
45884,418383
22969,208974
19778,181483
27549,253586
39987,361804
20089,181039
46473,417476
48788,442212
36779,333525
41405,374567
47317,429205
44564,412029
9194,89730
12153,114067
33523,299803
47053,425826
8063,77672
38694,345802
37897,354444
44687,403465
49512,457818
28181,255398
1336,16979
10024,95167
3977,40601
49664,447612
11047,106922
10096,95626
4565,45876
49887,448155
35966,338386
7216,70344
40877,379686
15200,139042
49154,442978
33983,306808
46121,417693
25507,240060
25898,232157
45401,419614
20990,194933
49237,447609
16971,159229
29536,279368
15281,145569
42943,386176
24600,226548
40043,357836
13375,126222
19779,175454
29913,277210
12753,122379
11889,111916
3163,33228
28582,261627
11046,105690
38772,354299
31061,284140
47010,429950
21643,199432
39617,374648
40844,377063
43877,396220
36555,343184
23967,225760
34932,323021
14915,141849
33604,305804
10944,101736
6525,64337
23398,216019
22250,207524
22196,203264
49826,457460
41019,353789
49791,448319
43052,402055
29707,272729
16251,154033
41206,371040
16479,156931
21532,197538
25493,242391
25788,232396
17315,158784
34373,313305
25073,226190
32403,296106
3373,35145
21492,202911
34178,314603
35756,327995
35444,325950
44431,404991
41755,382645
28300,251298
7310,71357
49086,460070
29023,259962
49448,436034
45460,418438
22239,208193
2982,31965
17009,158526
37074,347996
17450,164131
27214,245535
28878,268854
21235,200852
35550,325794
886,12857
49386,441493
38878,365766
23942,222445
33453,313010
20249,190544
40251,376057
29183,271501
25496,230018
31563,293329
10744,100842
26124,239673
36264,329225
20033,189388
44886,422214
48297,427424
42963,380664
36775,345616
36877,337912
38033,348590
39602,355533
6078,60410
20468,190466
48075,449164
23034,214093
34090,322601
9835,94068
17063,160099
13235,126340
37678,349659
4064,42417
36469,323014
30729,280456
44519,403617
4914,49223
38549,355775
32428,301214
44494,403565
43457,396631
5074,51286
13181,122734
40892,379141
43715,395457
37564,350088
37649,340595
